,일자,계(명)
227,2020-12-02,511
228,2020-12-03,540
229,2020-12-04,628
230,2020-12-07,615
231,2020-12-08,587
232,2020-12-09,670
233,2020-12-10,680
234,2020-12-11,689
235,2020-12-14,718
236,2020-12-15,880
237,2020-12-16,1078
238,2020-12-17,1014
239,2020-12-18,1064
240,2020-12-21,924
241,2020-12-22,866
242,2020-12-23,1090
243,2020-12-24,985
244,2020-12-25,1240
245,2020-12-28,806
246,2020-12-29,1044
247,2020-12-30,1050
248,2020-12-31,967
249,2021-01-01,1027
250,2021-01-04,1020
251,2021-01-05,714
252,2021-01-06,838
253,2021-01-07,869
254,2021-01-08,674
255,2021-01-11,451
256,2021-01-12,537
257,2021-01-13,561
258,2021-01-14,524
259,2021-01-15,512
260,2021-01-18,389
261,2021-01-19,386
262,2021-01-20,404
263,2021-01-21,400
264,2021-01-22,346
265,2021-01-25,437
266,2021-01-26,349
267,2021-01-27,559
268,2021-01-28,497
269,2021-01-29,469
270,2021-02-01,305
271,2021-02-02,336
272,2021-02-03,467
273,2021-02-04,451
274,2021-02-05,370
275,2021-02-08,288
276,2021-02-09,303
277,2021-02-10,444
278,2021-02-11,504
279,2021-02-12,403
280,2021-02-15,343
281,2021-02-16,457
282,2021-02-17,621
283,2021-02-18,621
284,2021-02-19,561
285,2021-02-22,332
286,2021-02-23,356
287,2021-02-24,440
288,2021-02-25,395
289,2021-02-26,387
290,2021-03-01,355
291,2021-03-02,344
292,2021-03-03,444
293,2021-03-04,424
294,2021-03-05,398
295,2021-03-08,346
296,2021-03-09,446
297,2021-03-10,470
298,2021-03-11,465
299,2021-03-12,488
300,2021-03-15,379
301,2021-03-16,363
302,2021-03-17,469
303,2021-03-18,445
304,2021-03-19,463
305,2021-03-22,415
306,2021-03-23,346
307,2021-03-24,428
308,2021-03-25,430
309,2021-03-26,489
310,2021-03-29,382
311,2021-03-30,447
312,2021-03-31,506
313,2021-04-01,551
314,2021-04-02,557
315,2021-04-05,473
316,2021-04-06,477
317,2021-04-07,668
318,2021-04-08,700
319,2021-04-09,671
320,2021-04-12,587
321,2021-04-13,542
322,2021-04-14,731
323,2021-04-15,698
324,2021-04-16,673
325,2021-04-19,532
326,2021-04-20,549
327,2021-04-21,731
328,2021-04-22,735
329,2021-04-23,797
330,2021-04-26,499
331,2021-04-27,512
332,2021-04-28,769
333,2021-04-29,679
334,2021-04-30,661
335,2021-05-03,488
336,2021-05-04,541
337,2021-05-05,676
338,2021-05-06,574
339,2021-05-07,525
340,2021-05-10,463
341,2021-05-11,510
342,2021-05-12,634
343,2021-05-13,715
344,2021-05-14,747
345,2021-05-17,619
346,2021-05-18,528
347,2021-05-19,654
348,2021-05-20,646
349,2021-05-21,561
350,2021-05-24,530
351,2021-05-25,516
352,2021-05-26,705
353,2021-05-27,629
354,2021-05-28,587
355,2021-05-31,430
356,2021-06-01,459
357,2021-06-02,677
358,2021-06-03,681
359,2021-06-04,695
360,2021-06-07,485
361,2021-06-08,454
362,2021-06-09,602
363,2021-06-10,610
364,2021-06-11,556
365,2021-06-14,399
366,2021-06-15,373
367,2021-06-16,545
368,2021-06-17,540
369,2021-06-18,507
370,2021-06-21,357
371,2021-06-22,394
372,2021-06-23,645
373,2021-06-24,610
374,2021-06-25,634
375,2021-06-28,501
376,2021-06-29,595
377,2021-06-30,794
378,2021-07-01,761
379,2021-07-02,825
380,2021-07-05,711
381,2021-07-06,746
382,2021-07-07,1211
383,2021-07-08,1275
384,2021-07-09,1316
385,2021-07-12,1100
386,2021-07-13,1150
387,2021-07-14,1613
388,2021-07-15,1599
389,2021-07-16,1535
390,2021-07-19,1251
391,2021-07-20,1278
392,2021-07-21,1781
393,2021-07-22,1841
394,2021-07-23,1629
395,2021-07-26,1318
396,2021-07-27,1363
397,2021-07-28,1895
398,2021-07-29,1673
399,2021-07-30,1710
400,2021-08-02,1218
401,2021-08-03,1200
402,2021-08-04,1725
403,2021-08-05,1775
404,2021-08-06,1704
405,2021-08-09,1491
406,2021-08-10,1537
407,2021-08-11,2221
408,2021-08-12,1987
409,2021-08-13,1989
410,2021-08-16,1554
411,2021-08-17,1372
412,2021-08-18,1803
413,2021-08-19,2152
414,2021-08-20,2050
415,2021-08-23,1417
416,2021-08-24,1507
417,2021-08-25,2154
418,2021-08-26,1882
419,2021-08-27,1837
420,2021-08-30,1485
421,2021-08-31,1370
