,일자,계(명)
389,2021-02-12,403
390,2021-02-13,362
391,2021-02-14,326
392,2021-02-15,343
393,2021-02-16,457
394,2021-02-17,621
395,2021-02-18,621
396,2021-02-19,561
397,2021-02-20,448
398,2021-02-21,416
399,2021-02-22,332
400,2021-02-23,356
401,2021-02-24,440
402,2021-02-25,395
403,2021-02-26,387
404,2021-02-27,415
405,2021-02-28,355
406,2021-03-01,355
407,2021-03-02,344
408,2021-03-03,444
409,2021-03-04,424
410,2021-03-05,398
411,2021-03-06,418
412,2021-03-07,416
413,2021-03-08,346
414,2021-03-09,446
415,2021-03-10,470
416,2021-03-11,465
417,2021-03-12,488
418,2021-03-13,490
419,2021-03-14,459
420,2021-03-15,379
421,2021-03-16,363
422,2021-03-17,469
423,2021-03-18,445
424,2021-03-19,463
425,2021-03-20,447
426,2021-03-21,456
427,2021-03-22,415
428,2021-03-23,346
429,2021-03-24,428
430,2021-03-25,430
431,2021-03-26,489
432,2021-03-27,505
433,2021-03-28,482
434,2021-03-29,382
435,2021-03-30,447
436,2021-03-31,506
437,2021-04-01,551
438,2021-04-02,557
439,2021-04-03,543
440,2021-04-04,543
441,2021-04-05,473
442,2021-04-06,477
443,2021-04-07,668
444,2021-04-08,700
445,2021-04-09,671
446,2021-04-10,677
447,2021-04-11,614
448,2021-04-12,587
449,2021-04-13,542
450,2021-04-14,731
451,2021-04-15,698
452,2021-04-16,673
453,2021-04-17,658
454,2021-04-18,671
455,2021-04-19,532
456,2021-04-20,549
457,2021-04-21,731
458,2021-04-22,735
459,2021-04-23,797
460,2021-04-24,785
461,2021-04-25,644
462,2021-04-26,499
463,2021-04-27,512
464,2021-04-28,769
465,2021-04-29,679
466,2021-04-30,661
467,2021-05-01,627
468,2021-05-02,606
469,2021-05-03,488
470,2021-05-04,541
471,2021-05-05,676
472,2021-05-06,574
473,2021-05-07,525
474,2021-05-08,701
475,2021-05-09,564
476,2021-05-10,463
477,2021-05-11,510
478,2021-05-12,634
479,2021-05-13,715
480,2021-05-14,747
481,2021-05-15,681
482,2021-05-16,610
483,2021-05-17,619
484,2021-05-18,528
485,2021-05-19,654
486,2021-05-20,646
487,2021-05-21,561
488,2021-05-22,666
489,2021-05-23,585
490,2021-05-24,530
491,2021-05-25,516
492,2021-05-26,705
493,2021-05-27,629
494,2021-05-28,587
495,2021-05-29,533
496,2021-05-30,480
497,2021-05-31,430
498,2021-06-01,459
499,2021-06-02,677
500,2021-06-03,681
501,2021-06-04,695
502,2021-06-05,744
503,2021-06-06,556
504,2021-06-07,485
505,2021-06-08,454
506,2021-06-09,602
507,2021-06-10,610
508,2021-06-11,556
509,2021-06-12,565
510,2021-06-13,452
511,2021-06-14,399
512,2021-06-15,373
513,2021-06-16,545
514,2021-06-17,540
515,2021-06-18,507
516,2021-06-19,482
517,2021-06-20,429
518,2021-06-21,357
519,2021-06-22,394
520,2021-06-23,645
521,2021-06-24,610
522,2021-06-25,634
523,2021-06-26,668
524,2021-06-27,614
525,2021-06-28,501
526,2021-06-29,595
527,2021-06-30,794
528,2021-07-01,761
529,2021-07-02,825
530,2021-07-03,794
531,2021-07-04,743
532,2021-07-05,711
533,2021-07-06,746
534,2021-07-07,1211
535,2021-07-08,1275
536,2021-07-09,1316
537,2021-07-10,1378
538,2021-07-11,1324
539,2021-07-12,1100
540,2021-07-13,1150
541,2021-07-14,1613
542,2021-07-15,1599
543,2021-07-16,1535
544,2021-07-17,1449
545,2021-07-18,1453
546,2021-07-19,1251
547,2021-07-20,1278
548,2021-07-21,1781
549,2021-07-22,1841
550,2021-07-23,1629
551,2021-07-24,1627
552,2021-07-25,1487
553,2021-07-26,1318
554,2021-07-27,1363
555,2021-07-28,1895
556,2021-07-29,1673
557,2021-07-30,1710
558,2021-07-31,1538
559,2021-08-01,1442
560,2021-08-02,1218
561,2021-08-03,1200
562,2021-08-04,1725
563,2021-08-05,1775
564,2021-08-06,1704
565,2021-08-07,1823
566,2021-08-08,1727
567,2021-08-09,1491
568,2021-08-10,1537
569,2021-08-11,2221
570,2021-08-12,1987
571,2021-08-13,1989
572,2021-08-14,1928
573,2021-08-15,1816
574,2021-08-16,1554
575,2021-08-17,1372
576,2021-08-18,1803
577,2021-08-19,2152
578,2021-08-20,2050
579,2021-08-21,1877
580,2021-08-22,1626
581,2021-08-23,1417
582,2021-08-24,1507
583,2021-08-25,2154
584,2021-08-26,1882
585,2021-08-27,1837
586,2021-08-28,1791
587,2021-08-29,1619
588,2021-08-30,1485
589,2021-08-31,1370
