,영화댓글
80,내가본 마블시리즈중 최악이였음 비쥬얼도 최악  너무 재미없음
81,마블영화보다가 존건 진심으로 처음이네...난 살면서 여러 졸작영화를 피해왔고 영화관에서 졸았던 적이 단한번도 없었는데..ㅡㅡ 다들 양조위 양조위 하지만 그마저도 임팩트 없었음 전-혀  이게 뭐냐ㅠㅠ
82,샹 (양아) 치 ....
83,서양인들을 위한 동양의 시르크 뒤 솔레이유
84,그냥 적당히 재미있었음
85,마블보단 디즈니 느낌이 강합니다ㅋㅋ 스토리 전개가 매끄럽지 못하고 루즈해서 중간에 좀 졸았어요.. 1시간 30분 정도로 압축해도 될거 같아요.
86,블랙위도우가 하도 죽을쒀서 기대치가 낮은상태에서 봐서 그런가 생각보다 괜찮더라...양조위가 캐리했다
87,음~마블 영화라 기대했는데~실망했다~마블 영화 보다 처음으로 졸았다 넘 매력없고 좀 유치~~ 그리고 중국영화라서가 아니라 느낌 그대로별로여서 별로임~
88,양조위가 그냥 완전 주인공 ㅠ
89,
90,재밌어요 액션신 정말 최고...
91,"제 말만 딱 듣고 가세요. 마블 영화 별 관심 없고 여사친땜에 보게 된 영화입니다. 솔직히 기대 이상이었습니다. 후기가 개판같아서 기대를 놓고가서 그런지 몰라도, 일단 보고 나서 기분 나쁘지는 않았습니다.  장점으로는 영상과 액션은 정말 일품이었습니다. cg도 멋있었어요. 막대한 자본을 투자 했구나라는게 cg부분에서 보이더라구요. 연기력도 이만하면 만족했구요. 단점으로는 중국의 문화를 다뤘다는 부분이죠. 중국에 대해 안 좋은 감정 가진 분들 많아서 거부감이 들 수 있습니다. 또 스토리가 너무 뻔했어요. 약간 유치한 부분이나 개연성 부분이 조금 아쉬웠습니다 허나 , 솔직히 보고 든 생각은 중국이 부러워지더라고요. 우리나라가 아무리 싫어하는 중국이라도 문화만큼은 막대하니까요. 멋있었습니다. 서양인들이 동양뽕 채우기 좋은 영화라는게 뭔말인지 알겠더라구요. 다른 영웅들보다는 떨어지지만, 전 만족했습니다"
92,진짜 진짜 꿀잼ㅠㅠㅠ 이거보고 동생이랑 마블 재입덕함ㅋㅋㅋ 기대를 안하고 가서 그런가 기대이상이였음 쑤샤링 진짜 존나 간지캐 언니 사랑해요!!!!ㅠㅠㅠㅠ 아 근데 기대하고 갔어도 존잼이였을꺼 같은디…여러분 색안경 빼고 가십쇼 선입견 가지고 보니까 영화가 그따구로 보이지…ㅉ 감상할 마음도 없는 것들이 보기는 또 왜보러 갔대ㅎ
93,와이프랑 봤는데 난 재밌었음
94,이딴 중국 자본 들어간 짱개 영화를 돈주고 보는 사람도 있네 거저 준다고 해도 안봄
95,마블영화?ㅋ후..뻥안치고 잤어요...
96,기대안하고 봐서 그런지 신선하고 재밌던데 감동도 있고 왜 재미없다는거지...
97,기존 마블영화 느낌 기대하고 본다면 실망할것이고 액션영화를 기대하고 본다면 만족할듯 볼거리는 충분함 마블영화 특유의 히어로간 케미나 빌런을 기대한다면 실망할수있음 그래도 반가운 얼굴 몇명 등장
98,홍콩 독립을 위해 만든 영화 짜요!!!!
99,진짜 너무 재미 없다..억지 신파에 웃기지도 않은 개그코드스토리는 중국 공산당 검열받아서 다 짤렸나 싶은정도..
100,"액션에 있어서 만큼은 정말 화려하고 만족스럽지만, 나머지 부분은 너무 밋밋하고 아쉽다"
101,진짜 개개개개재밌음 양조위 얼굴이 미쳤다
102,난재밌던데? 액션이 특히좋았고 연출괜찮고 스토리 쏘소하게 짜여있음 근데 중간에 지루한텀이 좀 길어서 구성은 별로였음 용두사미느낌?
103,마블영화라는 기대하지마시고 보세요 그저 징검다리영화입니다. 격투액션은 좋고 옛날 홍콩영화생각나네요
104,와아 우리나라도 중국 얘기만 나오면 그냥 열폭 지려버리네 ㅋㅋㅋㅋ그냥 영화는 영화로 보면되지 정치 이입해서 평점 깎는거 진심 피해의식같음ㅋㅋㅋㅋ블랙위도우보다 재밌는건 사실
105,중국 관련된 영화라고 억까하는 사람들이 너무 많다. 제발 영화에 사적인 감정 좀 담지 마..
106,히어로 탄생무비중엔 정말 좋았어요
107,액션이랑 cg 이런 영상 기술들은 좋았고 재밋었어요 저는 완전 호!
108,"새로운 히어로 넘 좋음 ㅠㅠ 블랙팬서 처음 볼 때만큼 신선하고 좋았음 ㅜ 물론 블팬에 못비비지만, 중국스러움 없진 않지만 재밌었음!!!! 그리구 주인공들이 너무 재밌고 상당히 귀엽습니다ㅠ"
109,마블영화 보다가 졸아본건 처음입니다..액션은 좋았으나 마지막에 디워가 생각났네요
110,그냥 그렇다..  이물감
111,재미없다고 해서 기대안했는데 ㅋㅋㅋ 너무재밋는데??
112,마블을 안보는데 입문하고 싶거나 요즘 심심하거나 스케일크고 웅장한 영화가 보고싶은 사람들은 샹치를 보세요. 마블 페이지 새로운 시작 첫 주인공이라 마블 안보던 사람도 볼 수 있음. 내용은 그냥 클리셰 다 때려넣은 중국무협영화같은데 재미 있음(just fun). 내 기준 블랙팬서 상위호환느낌(재미만). 근데 빌런이 아버지라 그런지 너무 약하고 마무리가 약간 토르 라그나로크st. 솔직히 쿵푸팬더가 내용은 훨씬 짜임새 있음 (느끼는 점도 훨씬 많음) 샹치는 약간 엥? 이렇게 넘어가? 하는 엥스러움이 있는데 그럼에도 모든 단점을 커버할만큼의 재미와 액션이 미쳤고 판타지스러움과 배경에 깔리는 음악이 진짜 좋음. 약간 가게가 첫 오픈하면 아직 자리가 안 잡혀서 혼란스러운 것 처럼 마블페이지 새로운 시작의 첫 영화기도 했고 첫 아시아배경 영화라 기존의 마블보단 좀 아쉬웠지만 역시 마블은 마블이다! 꼭 한번 보시기를 추천드림.
113,"양조위 혼자 열연한 영화. 주인공 샹치는 캐릭터가 매력이 없고 감정을 공감하기도 어렵고, 그냥 무미 건조한 캐릭터에 불과.. 서양인들이 바라본 동양에 대한 판타지는 너무나 뻔한 수준..."
114,외국에선 다 평 엄청 좋은데 우리나라에서만 욕먹고 평안좋은거 뭐 느껴 지는거 없음? 중국영화가 아니라 그냥 영화로 봐주면안돼? 이러면 우리가 저 외국에 인종차별주의자들이랑 뭐가 다른데 마블이 미친 걸작을 내놨구만 액션 스토리 서사 영상미 cg 뭐하나 빠지는거 없이 미쳐서 난 기립박수칠뻔했음
115,"스토리는 다소 유치했지만,마블의 액션이 점점 진화함을 보여준다."
116,스토리가 너무 신파극이라 별로였다. 액션은 좋았다. 악역들이 너무 허무하게 죽었다. 복면은 뭐 있어 보이더니 걍 영혼 빨려서 죽는다. 어이가 없었다. 그리고 샹치가 너무 약한거 같다. 용 없었으면 이미 날아다니는 놈하고 제대로 싸우지도 못하고 죽었을거 같다. 샹치와 용의 전설이 맞는거 같다. 다음에 등장하면 더 강해져서 나오는게 맞는거 같다.
117,이야 마블 이름을 빌려 이런걸 만드네....  중국자본 들어갓나
118,마블팬이라면 보긴보셈 그냥 그럭저럭 볼만은함
119,세상에… 마블에서 디워를 만들었을 줄이야…
120,쿵푸팬더 시리즈? 착각했음.기대를 안했지만 기대했으면 큰일날뻔작품 짜집기?
121,오마이갓 중국판고질라
122,사두용미
123,"중국 무술 영화 좋아하는 사람이면 10점, 안 좋아하면 7점 이하 줄 영화임. 저는 전자라서 진짜 재밌게 봤어요 ㅋㅋㅋ 날아다니는 무협영화 좋아해요 ㅋㅋㅋ"
124,자다가 일어나니까 용 두마리 싸우다가 끝남
125,마블의 재미를 빼고 중국의 쿵푸를 넣었다.마블 하나만 믿고 혹시나 해서 관람했지만 와호장룡에 디워 보는느낌
126,너무 유치해서 중간에 일부러 눈을 계속 감고 있었습니다.
127,기대없이 봤더니 기대이상으로 재밌었어요. 용타고 나타난 부분에서 엥?하며 퀄리티가 급하락한 느낌은 있네요.
128,피같은 헌혈하고... 아니지 레알 피 받쳐 얻은 쿠폰으로 이딴 양샹치 같은 영화를 보게 되다니... 빈혈온다!! 내 피 돌려놔라
129,존잼 존잘 두번보고옴 아마 곧 또보러갈듯
130,노잼입니다 넘별로네요
131,진심 리뷰 잘 안쓰는데 너무 재미있었습니다.
132,중국 자본이 들어간 영화지만 재미있게 잘 봤네요..마블 시리즈 연결되는 작품이라 보시는 거도..
133,"그냥 중국영화를 본다고 생각하면 역시 중국영화 답네! 그런데  천하에 마블도 중국자본, 중국시장 눈치를 보면 이렇게 망가지는 구나..."
134,재밋기만 하구만 평론가들 졸라 만네
135,"0점이 없네요. 이런 영화에 감상포인트도 추천해야 하다니. 연출, 연기, 스토리, 영상미, ost, 다 추천 안합니다.그동안 봐왔던 마블영화라고 생각하지마세요.그리고목베게 가져가시면 도움됩니다.그럼, 잘 자요."
136,평점 좋다는 애들아 이 영화는 중국 자본 들어갓고 중국 배우들 나오는 영화냐 너네 다 중국인이구나 ㅋㅋㅋ중국 영화 out 중국 배우 out마블이 중국 노린거잖아 ㅋㅋㅋ 바보들인가 뭔 중국영화가아니야 딱봐도 중국 겨냥해서 중국자본으로 만든영화구만 ㅋㅋ
137,"껍데기만 마블이고 속은 중국무협판타지, 지금 시대가 언젠데 아직도 태극권이나 처찍고,그나마 양조위 연기때문에 7점대 평점이지...그리고 마블은 다른 캐릭터는 다 미남미녀 배우 캐스팅인데 동양인 히어로는 남주여주 다 눈이 째진 배우를 찾은 이유가 뭐냐!"
138,정형적인 중궈러 영화임 나 무슨 더워본 줄
139,평소에 영화관을 자주 갈 정도로 영화를 즐겨보는데 리뷰는 처음 남겨봅니다.. 영화를 너무 급하게 만든 느낌이 들었습니다.
140,너무 중국문화 영화였다. 중국이 중국했다.
141,나만 졸았던게아니었어...솔직히 쿠키영상보러간거라 뭐..그래도기대는했는데..인스타광고 구라진짜심하네 관객들폭발 역대최고마블영화라고 하더니만...ㅡㅡ 하아 어벤져스엔 끼지마라제발 중국에서 팔찌끼고 혼자놀아ㅠㅠ부탁이야 샹
142,마블 특유의 느낌보다 온갖 중국이 좋아하는거 하나라도 더 욱여넣으려고 짬뽕시켜서 조화가 안맞음 걍 중국 판타지 영화임..; 마블만 봐온 사람이라면 절대 좋게 못 볼 듯 다만 좋은 액션씬과 양조위의 하드캐리 그냥 감정이입되면서 제일 멋있음
143,기대안하고 보면 아주 만족^^일단 ost가 졀ㄹr힙함 내 플레이리스트로 직 행
144,액션하구 스토리가 재미있게 봤습니다.
145,재밌는 액션영화였음 시간가는줄 몰랐으
146,개연성도 없고 이건 뭐..중국산 디워
147,기여운 새끼 나올때부터 잠
148,코로나가 장기화되니. 치매가 왔나. 마블 간판때자
149,일대종사로 시작해서 디워로 끝남온갖 중국영화 짬뽕 눈만 마주치면 자꾸 중국무술해대고 지겨워 쥬금울남편은 마블판 와호장룡인줄 알앗대여이제 마블도 가려서 본다 알간?
150,지 아빠 매력의 반만 닮았더라면…
151,진짜 이거 추천한새끼랑은 의절하십쇼 저 지금 친구패러 갑니다 진짜 마블에 이런 3류 중국영화가 탄생할줄 몰랐다 ㄹㅇ 실화냐?? 카카오는 샹치 6점이다 평점 ㅋㅋ 7점 너무 후하다 네이버 나만당할수없지 그거냐??!!!??
152,9.8일 cgv관람했습니다. 정말 기대안하고 봤지만 예상외로 액션씬 너무 볼만했고 지루한 부분도 거의 없었습니다. 배우들의 케미도 좋았구요.
153,OOO기 영화 절대 보지 마셈
154,"독고영재,주영훈,전원주,CL이 나오네요 큰멸치와 문어괴물과함께"
155,스토리 전개는 좋았으나 세계관이 너무 떠있습니다. 마블 영화치고 CG가 살짝 충격이었습니다. 2011년 CG같았습니다. 연출은 꽤 괜찮ㅇ았습니다. 그러나 중뽕 에바다
156,드릅게 재미없네 마블 맞아?
157,중국스러운게 너무 세지만 씨지화려하고 그냥 팝콘무비론 ㄱㅊ았음 남주 액션 쫀득했고 양조위 미모 하
158,진짜 저는 개인적으로 너무재밌게잘봤어요 평점보고 고민했다가 봤는데 정말 후회안했어요
159,괜찬턴데 답답하면 니네가 영화를 만들던가
160,샹치행님 액션 굿~!!!! 양조위행님 얼굴 굿~!!!! 디워는 좀 그랬어....
161,중화사상이 껴있는게 조금. 꼴뵈기싫긴한데 그럭저럭 볼만했던 것 같네요
162,
163,19년인생 최악의영화 영화보는내내 영화에서 취두부냄새가 진동을함 지나고보니 블랙위도우가 선녀였다..
164,임창정과 손흥민 영화보면서 이것만 자꾸 생각남
165,샹치 :강형욱이 파워레인저 옷입고 용 조련하는 내용 마지막에 마동석형이 나와서 같이 일하자하고 끝나는 내용
166,기대이상으로 재밌어요~~~!! 앞으로의 샹치를 더기대하게 만드는 영화였습니다!!
167,억까 ㅈㄴ 많네 ㅋㅋㅋㅋ 웰케 역겹냐 그냥ㅋㅋㅋㅋ
168,황당한 연출과 스토리..
169,기대한만큼은 아니지만 나름 재미있었음
170,세상에 이게 무슨 영화야.... 마블만 붙인다고마블영화가 아니잖아...
171,마블도 중국한테 먹히겠네 재미는있는데 마블은 커녕 중국영화 봤네 ㅋㅋㅋ
172,마블도 중국한테 먹히겠네 재미는있는데 마블은 커녕 중국영화 봤네 ㅋㅋㅋ
173,마블 팬으로써 실망입니다..
174,중국인 벼로임 그리고 중국인 맘에 안듬
175,뭐 볼만했는대 떡밥이 회수가안됨 죽게된건 업보때믄에 그리된건대 갑자기 왜 엄한마을 공격해서 거기에 갇혔다는지 모르겟음 보면볼수록 너무 답답함 그냥 ㄹㅇ이게왜 마블인지모르겟다 토르가 용타고나올듯
176,솔직히 .... 그냥 무협판타지물마블스튜디오 진짜 맞나요 ?? 실망함 ...
177,영화도 별로지만 중국사람으로 전파된 코로나19. 로더 별로
178,중국 영화라고 다 평이 안좋은데 중국과 우리 나라와의 관계가 안좋다고 이 영화를 안좋은 관점으로 바라보는 것은 어리석다고 봅니다. 문화를 문화로 받아드려야지 정치적은 이슈를 끌고와서 그런 관점으로 보는 것은 문화적인 차원에서 지능이 낮은 수준으로 판단되네요. 영화에 대해서는 감독이 애초에 중국풍 액션으로 설계를 했다고 하는데 그점을 미리인지 하지못하고 보고난 후 자신이 좋아하지 않는 나라의 문화를 바탕으로 만들었다고 별점 테러하는 것은 어리석네요. 액션은 좋았습니다. 하지만 중간에 조금 늘어지는 듯한 부분이 있어서 그때 바로 화장실 다녀왔습니다. 개연성부분에서는 확실히 약간 떨어졌다고 봅니다. 마지막 부분에 웬우가 계속 그 미지생물에게 자신의 아내 목소리때문에 홀리는 장면은 조금은 오글거렸습니다. 다른 방법으로 표현했어도 좋았을 거 같아요.
179,아주 중국 똥꼬가 사라지게 빠네 진짜...초중반 괜찮다가 후반 갈수록 눈이 끔찍
180,마블이 중국한테 투자받고 예의상 만들어준 듯한 영화
181,1.. 마블이 중공자본에 영혼을 팔았다. 2..  1번인 줄 알았으나 중공 후드려 패고 조롱하는 것이었다.
182,블랙위도우 보다 재밌었고 링 액션이 너무 좋았음
183,전혀 기대안했는데 솔직히 액션은 정말 멋있었습니다. 개그도 저랑 잘맞아서 그런지 재밌게 잘보고 올만한 영화라고 생각합니다
184,주인공 액션보다 드래곤vs뮤탈리스크 싸움이 스케일 더큰듯.윙 안나왔으면 마블영화인줄 모르고 볼뻔했습니다.
185,무협은 아니고 그저그런 판타지
186,"마블 영화에 배신당하기는 처음….,,,, 진짜 재미도 감동도 없고 그냥 저렴한 중국 판타지 영화…차라리 사람 대 사람으로 하던가 괴물들은 왜 끼어넣어서 휴 ^^"
187,기대안했는데 재밌게봄
188,
189,그렇게 막 엄청 재미있지는 않은듯
190,
191,중간에 졸려죽는줄 알았음 그리고 MCU 아시아확장을 염두에 둔 디즈니의 어이없는 망작이네요 그리고 중국풍은 극혐입니다 양조위혼자 그래도 멋있었습니다!
192,"영화 내용은 솔직히 별로 기억도 안남, 다만 전 공짜로 봤고 4d로 봤음 영화 기대값 전혀 없으신분들은 투디로 봐도 무난함 , 영화 기대값이 좀 크신분들 포디로 보십쇼 여태 포디영화 수도없이 봤지만 하트오브더씨 이후로 이렇게 포디효과 야무친거 오랜만에 봅니더"
193,진짜솔직히 마블아니었으면 안봤다..
194,판타지 무협 영화 + 디워에 마블 옷을 입힌 영화
195,이딴 영화를 만들어놨어 마블이?
196,스토리가 너무 단순해요..
197,중국에 대해 반감이 있거나 마블영화라고 생각하면서 볼려고 하시는 분은 추천드리지 않습니다
198,액션 하나만큼은 최고인듯!!
199,기대 이상으로 재밌었어요~마블팬이라면 꼭 봐야합니다
200,액션좋아요 나름 볼만했음
201,마블영화보다가 잠든건 또 처음이네요
202,마블에 중국뿌리기디워뭔데
