조건별분석,,,,,
[검색조건],,,,,
,분류: 지상,,,,
,요소 : 강수량,,,,
,검색구분 : 일,,,,
,지역/지점명 : 목포,,,,
,기간 : 2011 ~ 2021년 01 ~ 12월 01 ~ 31일,,,,
,,,,,
,,,,,
"	165",목포,2011.10.5,,,
"	165",목포,2011.10.6,,,
"	165",목포,2011.10.7,,,
"	165",목포,2011.10.8,,,
"	165",목포,2011.10.9,,,
"	165",목포,2011.10.10,,,
"	165",목포,2011.10.11,,,
"	165",목포,2011.10.12,0,0,
"	165",목포,2011.10.13,0.1,0.1,
"	165",목포,2011.10.14,11.5,3,3:44
"	165",목포,2011.10.15,0.3,0.3,17:46
"	165",목포,2011.10.16,0.1,0.1,
"	165",목포,2011.10.17,,,
"	165",목포,2011.10.18,,,
"	165",목포,2011.10.19,,,
"	165",목포,2011.10.20,,,
"	165",목포,2011.10.21,1.5,1,21:45
"	165",목포,2011.10.22,0,0,
"	165",목포,2011.10.23,0,0,
"	165",목포,2011.10.24,8.5,3,7:43
"	165",목포,2011.10.25,,,
"	165",목포,2011.10.26,,,
"	165",목포,2011.10.27,,,
"	165",목포,2011.10.28,,,
"	165",목포,2011.10.29,,,
"	165",목포,2011.10.30,,,
"	165",목포,2011.10.31,,,
"	165",목포,2011.11.1,,,
"	165",목포,2011.11.2,2,,
"	165",목포,2011.11.3,,,
"	165",목포,2011.11.4,1.5,,
"	165",목포,2011.11.5,42.5,,
"	165",목포,2011.11.6,1,,
"	165",목포,2011.11.7,,,
"	165",목포,2011.11.8,,,
"	165",목포,2011.11.9,0,,
"	165",목포,2011.11.10,0.3,,
"	165",목포,2011.11.11,6.5,,
"	165",목포,2011.11.12,,,
"	165",목포,2011.11.13,,,
"	165",목포,2011.11.14,,,
"	165",목포,2011.11.15,,,
"	165",목포,2011.11.16,,,
"	165",목포,2011.11.17,2,,
"	165",목포,2011.11.18,56,,
"	165",목포,2011.11.19,19.5,,
"	165",목포,2011.11.20,,,
"	165",목포,2011.11.21,,,
"	165",목포,2011.11.22,0.1,,
"	165",목포,2011.11.23,3,,
"	165",목포,2011.11.24,,,
"	165",목포,2011.11.25,,,
"	165",목포,2011.11.26,,,
"	165",목포,2011.11.27,,,
"	165",목포,2011.11.28,,,
"	165",목포,2011.11.29,,,
"	165",목포,2011.11.30,15.5,,
"	165",목포,2011.12.1,4.5,,
"	165",목포,2011.12.2,2,,
"	165",목포,2011.12.3,0.5,,
"	165",목포,2011.12.4,,,
"	165",목포,2011.12.5,,,
"	165",목포,2011.12.6,0,,
"	165",목포,2011.12.7,0,,
"	165",목포,2011.12.8,0.4,,
